,ID,Label,Category,Set
402,B,ohp,heavy,High
403,B,ohp,heavy,High
404,B,ohp,heavy,High
405,B,ohp,heavy,High
406,B,ohp,heavy,High
407,B,ohp,heavy,High
408,B,ohp,heavy,High
409,B,ohp,heavy,High
410,B,ohp,heavy,High
411,B,ohp,heavy,High
412,B,ohp,heavy,High
413,B,ohp,heavy,High
414,B,ohp,heavy,High
415,B,ohp,heavy,High
416,B,ohp,heavy,High
417,B,ohp,heavy,High
418,B,ohp,heavy,High
419,B,ohp,heavy,High
420,B,ohp,heavy,High
421,B,ohp,heavy,High
422,B,ohp,heavy,High
423,B,ohp,heavy,High
424,B,ohp,heavy,High
425,B,ohp,heavy,High
426,B,ohp,heavy,High
427,B,ohp,heavy,High
428,B,ohp,heavy,High
429,B,ohp,heavy,High
430,B,ohp,heavy,High
431,B,ohp,heavy,High
432,B,ohp,heavy,High
433,B,ohp,heavy,High
434,B,ohp,heavy,High
435,B,ohp,heavy,High
436,B,ohp,heavy,High
437,B,ohp,heavy,High
438,B,ohp,heavy,High
439,B,ohp,heavy,High
440,B,ohp,heavy,High
441,B,ohp,heavy,High
442,B,ohp,heavy,High
443,B,ohp,heavy,High
444,B,ohp,heavy,High
445,B,ohp,heavy,High
446,B,ohp,heavy,High
447,B,ohp,heavy,High
448,B,ohp,heavy,High
449,B,ohp,heavy,High
450,B,ohp,heavy,High
451,B,ohp,heavy,High
452,B,ohp,heavy,High
453,B,ohp,heavy,High
454,B,ohp,heavy,High
455,B,ohp,heavy,High
456,B,ohp,heavy,High
457,B,ohp,heavy,High
458,B,ohp,heavy,High
459,B,ohp,heavy,High
460,B,ohp,heavy,High
461,B,ohp,heavy,High
462,B,ohp,heavy,High
463,B,ohp,heavy,High
464,B,ohp,heavy,High
465,B,ohp,heavy,High
466,B,ohp,heavy,High
467,B,ohp,heavy,High
468,B,ohp,heavy,High
469,B,ohp,heavy,High
470,B,ohp,heavy,High
471,B,ohp,heavy,High
472,B,ohp,heavy,High
473,B,ohp,heavy,High
474,B,ohp,heavy,High
475,B,ohp,heavy,High
476,A,ohp,heavy,Mid
477,A,ohp,heavy,Mid
478,A,ohp,heavy,Mid
479,A,ohp,heavy,Mid
480,A,ohp,heavy,Mid
481,A,ohp,heavy,Mid
482,A,ohp,heavy,Mid
483,A,ohp,heavy,Mid
484,A,ohp,heavy,Mid
485,A,ohp,heavy,Mid
486,A,ohp,heavy,Mid
487,A,ohp,heavy,Mid
488,A,ohp,heavy,Mid
489,A,ohp,heavy,Mid
490,A,ohp,heavy,Mid
491,A,ohp,heavy,Mid
492,A,ohp,heavy,Mid
493,A,ohp,heavy,Mid
494,A,ohp,heavy,Mid
495,A,ohp,heavy,Mid
496,A,ohp,heavy,Mid
497,A,ohp,heavy,Mid
498,A,ohp,heavy,Mid
499,A,ohp,heavy,Mid
500,A,ohp,heavy,Mid
501,A,ohp,heavy,Mid
502,A,ohp,heavy,Mid
503,A,ohp,heavy,Mid
504,A,ohp,heavy,Mid
505,A,ohp,heavy,Mid
506,A,ohp,heavy,Mid
507,A,ohp,heavy,Mid
508,A,ohp,heavy,Mid
509,A,ohp,heavy,Mid
510,A,ohp,heavy,Mid
511,A,ohp,heavy,Mid
512,A,ohp,heavy,Mid
513,A,ohp,heavy,Mid
514,A,ohp,heavy,Mid
515,A,ohp,heavy,Mid
516,A,ohp,heavy,Mid
517,A,ohp,heavy,Mid
518,A,ohp,heavy,Mid
519,A,ohp,heavy,Mid
520,A,ohp,heavy,Mid
521,A,ohp,heavy,Mid
522,A,ohp,heavy,Mid
523,A,ohp,heavy,Mid
524,A,ohp,heavy,Mid
525,A,ohp,heavy,Mid
526,A,ohp,heavy,Mid
527,A,ohp,heavy,Mid
528,A,ohp,heavy,Mid
529,A,ohp,heavy,Mid
530,A,ohp,heavy,Mid
531,A,ohp,heavy,Mid
532,A,ohp,heavy,Mid
533,A,ohp,heavy,Mid
534,A,ohp,heavy,Mid
535,A,ohp,heavy,Mid
536,A,ohp,heavy,Mid
537,A,ohp,heavy,Mid
538,A,ohp,heavy,Mid
539,B,ohp,heavy,Mid
540,B,ohp,heavy,Mid
541,B,ohp,heavy,Mid
542,B,ohp,heavy,Mid
543,B,ohp,heavy,Mid
544,B,ohp,heavy,Mid
545,B,ohp,heavy,Mid
546,B,ohp,heavy,Mid
547,B,ohp,heavy,Mid
548,B,ohp,heavy,Mid
549,B,ohp,heavy,Mid
550,B,ohp,heavy,Mid
551,B,ohp,heavy,Mid
552,B,ohp,heavy,Mid
553,B,ohp,heavy,Mid
554,B,ohp,heavy,Mid
555,B,ohp,heavy,Mid
556,B,ohp,heavy,Mid
557,B,ohp,heavy,Mid
558,B,ohp,heavy,Mid
559,B,ohp,heavy,Mid
560,B,ohp,heavy,Mid
561,B,ohp,heavy,Mid
562,B,ohp,heavy,Mid
563,B,ohp,heavy,Mid
564,B,ohp,heavy,Mid
565,B,ohp,heavy,Mid
566,B,ohp,heavy,Mid
567,B,ohp,heavy,Mid
568,B,ohp,heavy,Mid
569,B,ohp,heavy,Mid
570,B,ohp,heavy,Mid
571,B,ohp,heavy,Mid
572,B,ohp,heavy,Mid
573,B,ohp,heavy,Mid
574,B,ohp,heavy,Mid
575,B,ohp,heavy,Mid
576,B,ohp,heavy,Mid
577,B,ohp,heavy,Mid
578,B,ohp,heavy,Mid
579,B,ohp,heavy,Mid
580,B,ohp,heavy,Mid
581,B,ohp,heavy,Mid
582,B,ohp,heavy,Mid
583,B,ohp,heavy,Mid
584,B,ohp,heavy,Mid
585,B,ohp,heavy,Mid
586,B,ohp,heavy,Mid
587,B,ohp,heavy,Mid
588,B,ohp,heavy,Mid
589,B,ohp,heavy,Mid
590,B,ohp,heavy,Mid
591,B,ohp,heavy,Mid
592,B,ohp,heavy,Mid
593,B,ohp,heavy,Mid
594,B,ohp,heavy,Mid
595,B,ohp,heavy,Mid
596,B,ohp,heavy,Mid
597,B,ohp,heavy,Mid
598,B,ohp,heavy,Mid
599,B,ohp,heavy,Mid
600,B,ohp,heavy,Mid
601,B,ohp,heavy,Mid
602,B,ohp,heavy,Mid
603,B,ohp,heavy,Mid
604,B,ohp,heavy,Mid
605,B,ohp,heavy,Mid
606,B,ohp,heavy,Mid
607,B,ohp,heavy,Mid
608,B,ohp,heavy,Mid
609,B,ohp,heavy,Mid
